DATE,TIME,CONTENT
1/1/2016,1:25," Hello 2016! On #Resolutions Day, discover our To Do List"" for all #GE2016 candidates! #SDGs http://www.atdireland.ie/wp/todo2016/?https://twitter.com/UN/status/682790125059768320?? ""      "
1/1/2016,1:38, Hello 2016! #SDGs kicked in with start of year! Read our #RolesWePlay 4 #GlobalGoals booklet http://www.atdireland.ie/wp/globalgoals/?pic.twitter.com/UpKp5djEwt       
1/1/2016,1:44, Clean Water and Sanitation for All by 2030 http://dld.bz/dVcZE? #Water #WaterPoverty #MDGs #SDGs #4H2O        
1/1/2016,1:45, Clean Water and Sanitation for All by 2030 http://dld.bz/dVcZE? #Water #WaterPoverty #MDGs #SDGs        
1/1/2016,1:45," You are what you do, not what you say you'll do. @MyBitNation is forging a path of immediate action. #refugees #SDGs https://twitter.com/mybitnation/status/682850409652862976??       "
1/1/2016,1:56," The #SDGs just came into effect"". A Happy New Year everybody! #Agenda2030 #EveryoneEverywhere #WASH #MGDs ""      "
1/1/2016,2:00, @undp_sweden @helenclarkundp @isabellalovin Congrats & best wishes @undp 4 initiating d most important agenda 4 welfare of #Humanity! #SDGS       
1/1/2016,2:04, How expensive is it to be a poor http://www.huffingtonpost.com/gary-white/its-expensive-to-be-poor_b_8095176.html?1441805779?? #Water #WaterPoverty #MDGs #SDGs #4H2O       
1/1/2016,2:04, Clean Water and Sanitation for All by 2030 http://www.huffingtonpost.com/gary-white/its-expensive-to-be-poor_b_8095176.html?1441805779?? #Water #WaterPoverty #MDGs #SDGs #4H2O       
1/1/2016,2:04, How expensive is it to be a poor? http://www.huffingtonpost.com/gary-white/its-expensive-to-be-poor_b_8095176.html?1441805779?? #Water #WaterPoverty #MDGs #SDGs #4H2O       
1/1/2016,2:04, Clean Water and Sanitation for All by 2030 http://www.huffingtonpost.com/gary-white/its-expensive-to-be-poor_b_8095176.html?1441805779?? #Water #WaterPoverty #MDGs #SDGs #4H2O       
1/1/2016,2:04, ean Water and Sanitation for All by 2030 http://www.huffingtonpost.com/gary-white/its-expensive-to-be-poor_b_8095176.html?1441805779?? #Water #WaterPoverty #MDGs #SDGs #4H2O       
1/1/2016,2:13, http://swaga.org/one? RT @UNDP: Ensuring health means promoting well-being for all: http://ow.ly/WqYdY? #SDGs pic.twitter.com/q6zjQk9XS4       
1/1/2016,2:14," New year! In your own small way, join us make the #SDGS a reality. Join @WorldMeritGH #SDGs projects @WorldMeritHQpic.twitter.com/hHn0L7pPFV       "
1/1/2016,2:21, New year's resolution 2016: work for implementation of the #GlobalGoals !  #SDGs #FirstGenerationhttps://twitter.com/swemfa/status/682697551322038272??       
1/1/2016,2:33, January 1st! Good day to download a 2016 #EndPoverty #SDGs calendar! @icoct17 @ATD4thWorld http://www.17october.ie/2016calendar/?pic.twitter.com/7RLP4bOkz9       
1/1/2016,2:34, Goodbye #MDGs Welcome #SDGs https://m.youtube.com/watch?feature=youtu.be&v=5_hLuEui6ww??       
1/1/2016,2:46, Clean Water and Sanitation for All by 2030 http://dld.bz/dVcZE? #Water #WaterPoverty #MDGs #SDGs        
1/1/2016,2:50, RT@DevThisWeek:The #SDGs follow & expand on the #MDGs. @TheGlobalGoals @afrigovR @TheWaaph @iphfonline @ohanyidof @post2015Africa #SGDInfo       
1/1/2016,2:57," Join the chat in a few mins...its on the #SDGs  New Year, New Agenda #GlobalGoalspic.twitter.com/jmMseD19mj       "
1/1/2016,2:58," As of today, #SDGs are applicable! But what do they mean for #youth? http://bit.ly/1MtjTEb? @Steph_Beecroftpic.twitter.com/g1YcrWxsdn       "
1/1/2016,2:59," Happy New Year and Happy Birth Day to the #SDGs. 1-1-16 is day 1 of a more socially inclusive, environmentally friendly world. Bring it on!       "
1/1/2016,3:00," #WaterisLife! See why #SustainableDevelopment Goal 6, Clean #water and sanitation"" is vital for all humans: http://on.undp.org/ahb? #SDGs ""      "
1/1/2016,3:01, It is important to note that the Sustainable Development Goals or #SDGs are designed to respect national policies and priorities.       
1/1/2016,3:03, It's time for our chat on the sustainable development goals #SDGs  Join the chat using #SDGsNigeria #NewGoals       
1/1/2016,3:03," The #SDGs are A set of 17 goals for the world?s future, through 2030 Backed up by a set of 169 detailed Targets #SDGsNigeria #NewGoals       "
1/1/2016,3:05," 1 Jan 2016 = Day 1 for the #SDGs. http://www.sdginsights.org? has already found >633,000 related articles for you! Take a look...       "
1/1/2016,3:05, The #SDGs were Negotiated ovr a 2year period @ the United Nations Agreed to by nearly all the world?s nations on 25 Sept 2015 #SDGsNigeria       
1/1/2016,3:10," A1: The sustainable development goals, #SDGs are universal. #SDGsNigeria       "
1/1/2016,3:11, It indeed was. With the #SDGs switching to implementation phase there are widespread opportunities for improvement. https://twitter.com/undp4youth/status/682864008072921089??       
1/1/2016,3:16," Retweeted SDGs Nigeria (@sdgsnigeria):  The #SDGs are ??A set of 17 goals for the world?s future, through 2030... http://fb.me/4N3R5iE9G?       "
1/1/2016,3:16," Retweeted SDGs Nigeria (@sdgsnigeria):  A1: The sustainable development goals, #SDGs are universal. #SDGsNigeria       "
1/1/2016,3:17, #HappyNewYear and a big welcome to the #SDGs. Best wishes in 2016 https://twitter.com/SDGs1000Citizen/status/682837265073205249??       
1/1/2016,3:19, The interlinked nature of the #SDGs always invokes the question of hw we can ensure that the achievement of 1 goal doesn?t undermine another       
1/1/2016,3:22, The 17 #SDGs form a cohesive & integrated package of global aspirations the world commits to achieving by 2030. #SDGsNigeria #NewGoals       
1/1/2016,3:25, Retweeted SDGs Nigeria (@sdgsnigeria):  The #SDGs were ??Negotiated ovr a 2year period @ the United Nations... http://fb.me/4DhnzjD7u?       
1/1/2016,3:26, The  Sustainable Development Goals #SDGs start today! #LeaveNoOneBehind http://j.mp/22zadni? #GlobalGoals       
1/1/2016,3:26," Retweeted SDGs Nigeria (@sdgsnigeria):  A1: The sustainable development goals, #SDGs are universal. #SDGsNigeria       "
1/1/2016,3:27, Retweeted SDGs Nigeria (@sdgsnigeria):  The interlinked nature of the #SDGs always invokes the question of hw we... http://fb.me/RZWqEkhc?       
1/1/2016,3:27, Retweeted SDGs Nigeria (@sdgsnigeria):  The 17 #SDGs form a cohesive & integrated package of global aspirations... http://fb.me/35mao7EPg?       
1/1/2016,3:28," The #SDGs with 17goals have kicked off today, January 1 until 2030. Next is a formal agreement among States on... http://fb.me/7tvhbH2cq?       "
1/1/2016,3:28, RT@nawsheenh: ICTs for Sustainable Development #ICT4SDG | @scoopit v: @inovate2100 http://sco.lt/6o24ll? @nyulaku @okenyodo @iroiso #SDGs       
1/1/2016,3:30, Holiday reading with #env4eu 17 Sustainable Development Goals #Agenda2030 #SDGs http://europa.eu/!FD88Vc? v?a @EU_ENVpic.twitter.com/3wmhu166GM       
1/1/2016,3:34," #SDG1 No Poverty"" - How will you make a difference? #SDGs #GlobalGoalspic.twitter.com/WPmpVU3dYK ""      "
1/1/2016,3:51, The #GlobalGoals have been officially launched today. Sustainability all the way. #Agenda2030 #post2015 #SDGs       
1/1/2016,4:00, Happy New Year 2016!! TODAY Let's celebrate @UN #SDGs officially come into force! #GlobalGoalspic.twitter.com/qcVdzqcfS5       
1/1/2016,4:00, Happy New Year 2016!! TODAY Let's celebrate @UN #SDGs officially come into force! #GlobalGoalspic.twitter.com/70GIGikImG       
1/1/2016,4:00," Hello 2016, hello new Goals! Today the #SDGs come into effect! 17 Goals & 169 targets seek to build on the #MDGs: http://bit.ly/22yUV1V?       "
1/1/2016,4:05, Happy New Year 2016!! TODAY Let's celebrate @UN #SDGs officially come into force! #GlobalGoals       
1/1/2016,4:10,  How can #cities spur the achievement of #SDGs? Options for #NewUrbanAgenda: http://adelph.it/NewUrbanAgenda? #2015adelphipic.twitter.com/Omw44wIqGH       
1/1/2016,4:16, @sdgsact @sdgsnga @sdgsnigeria @sdgsquiznigeria help them understand they can actualize thr dreams & remain successful via d #SDGs!!!       
1/1/2016,4:17, Our New Years Resolution is to support the @UN Sustainable Development Goals #SDGs https://sustainabledevelopment.un.org/?       
1/1/2016,4:17, Lets strive to increase the Domestic Resources & enable the #Tanzanian government to fulfil its commitment to #SDGs https://twitter.com/TheGlobalGoals/status/682863889374031873??       
1/1/2016,4:21," 2015: #Refugees=shame, #SDGs=pride, #COP21=hope. #Habitat3, inspiration, equality, transformation, all to look towards #Happy2016       "
1/1/2016,4:22, @FNB_Botswana @BWGovernment The  Sustainable Development Goals #SDGs start today! #LeaveNoOneBehind http://j.mp/22zadni? #GlobalGoals       
1/1/2016,4:33," The #SDGs are ??A set of 17 goals for the world?s future, through 2030 ??Backed up by a set of 169 detailed Targets #SDGsNigeria #NewGoals ""      "
1/1/2016,4:33, Happy New Year and Happy Birth Day #SDGs http://inspire.nayd.org/2016/01/happy-new-year-and-happy-birth-day-to.html??       
1/1/2016,4:36, @undp Gr8! Education nt only make them aware abt their rights but also make them stand on their feet independently & contributing in #SDGs!       
1/1/2016,4:38," Kickoff for the #SDGs, 169 targets towards 17 Goals @SDGsSaturday @ESG_SDG @SDGaction @akorive001pic.twitter.com/ZDnacDKkPE       "
1/1/2016,4:39," #MyUNEA ~ Hello 2016, hello new Goals! Today the #SDGs come into effect! 17 Goals & 169 targets seek to build on... http://fb.me/70xWIj9Fp?       "
1/1/2016,4:44, Retweeted MY World (@MYWorld2030):  Happy New Year 2016!! TODAY Let's celebrate @UN #SDGs officially come into... http://fb.me/2skDLZzhC?       
1/1/2016,4:44, Retweeted WorldWeWant2015 (@WorldWeWant2015):  Happy New Year 2016!! TODAY Let's celebrate @UN #SDGs officially... http://fb.me/26XBNfGw1?       
1/1/2016,4:44, Thanks for joining in. Now it's your turn to tell everyone about the #NewGoals that will transform our world. #SDGs pic.twitter.com/IhZzBHAXDB       
1/1/2016,4:53, 7 reasons the #SDGs will be better than the #MDGs: http://www.theguardian.com/global-development-professionals-network/2015/sep/26/7-reasons-sdgs-will-be-better-than-the-mdgs?? via @GuardianGDP       
1/1/2016,4:54," @wef  yes, this will aid us know if we are making improvement and by how much we are getting closer to achieving the Big dream #SDGs       "
1/1/2016,5:00, Want to save lives and money? Invest in #hospitals. http://www.cgdev.org/blog/want-save-lives-and-money-invest-hospitals?? #GlobalGoals #SDGs #healthcare       
1/1/2016,5:00," Starting from today, #SDGs are applicable. Read what these goals mean for #young people: http://bit.ly/1MtjTEb?pic.twitter.com/oqJVWZUMoG       "
1/1/2016,5:00, Retweeted SDGs Nigeria (@sdgsnigeria):  The interlinked nature of the #SDGs always invokes the question of hw we... http://fb.me/7vu47bwXB?       
1/1/2016,5:00, Retweeted SDGs Nigeria (@sdgsnigeria):  The 17 #SDGs form a cohesive & integrated package of global aspirations... http://fb.me/5OAo14jnf?       
1/1/2016,5:01, Quality #Education will help to end #Poverty #Hunger everywhere in the world #SDGs @Fabretto @GirlsGlobe @SDGsJigawapic.twitter.com/qQd4nX703k       
1/1/2016,5:02," #HappyNewYear! Hope #2016 is a year of #action, #change & advancement of the #SDGs #GlobalGoalspic.twitter.com/bzAoCxP9JW       "
1/1/2016,5:03, The #SDGs underline that helping young people realize their rights and capabilities helps countries reap a #DemographicDividend.       
1/1/2016,5:09, 720 million people will return to poverty in the climate crisis http://www.odi.org/publications/9690-zero-poverty-zero-emissions-eradicating-extreme-poverty-climate-crisis?? #COP21 #SDGs #GlobalGoalspic.twitter.com/BbpvP7Rc38       
1/1/2016,5:10, In #2016 let's put women at centre of means of implementation of #SDGs http://ow.ly/WlBkT? #Planet5050 @UN_Womenpic.twitter.com/03teTwQ2Sd       
1/1/2016,5:11, What is your role? We all have a part to play. #SDGs @lillianmoremi @UNESCO_BW @BWGovernment @TheBTCL_IPO @Botswanahttps://twitter.com/ONEinAfrica/status/682909719061737473??       
1/1/2016,5:14, The world is ONE because we share the same goal #SDGs #OpenData #SDGsNigeria #SDGsACT #SDGsSaturday #SDGs2030       
1/1/2016,5:26," @akorive001 @SDGaction a big thanks 2 Alan Atkisson for this ''WOW track 4  #SDGs https://m.youtube.com/watch?sns=tw&v=ieRkqZ11rLg?? ""      "
1/1/2016,5:31, Happy New Year! IT'S OFFICIAL: #SDGs are now launched to finish the work started x the #MDGs. #globalgoals #EWECisME http://bit.ly/1IqICxS?       
1/1/2016,5:31," @richardbranson  am Loving this, all our Resolutions boils down to achieving #SDGs       "
1/1/2016,5:32, The Tony Elumelu Foundation have started 2016 with a bang supporting entrepreneurs & creating jobs #Goal8 #SDGs pic.twitter.com/d1U11w1TzE       
1/1/2016,5:55, The transformation to a more sustainable and just world begins now - UNGA President #SDGs http://www.sudantribune.com/spip.php?article57544??       
1/1/2016,5:56," #SDGs RT @GlobalGoalsUN Adios, Millennium Development Goals. We loved you for 15 years but on to the #GlobalGoals!pic.twitter.com/J4Utqtr7Fn       "
1/1/2016,5:58, Out with the #MDGs! Here comes #SDGs. Ready?       
1/1/2016,6:10, http://whygreeneconomy.org/the-politics-of-the-sustainable-development-goals-sdgs/?? @UN #SDGs have come into effect #NewYearsDay2016 - 17 #GlobalGoals - 15 Years to effect change #NewYearsResolution       
1/1/2016,6:13," RT @UNDP: Many more girls in school than ever before, we must continue efforts w/the #SDGs: http://ow.ly/Wr2hI?pic.twitter.com/xVtv5mIywq       "
1/1/2016,6:21," 2016: may we learn to love God more and have deep compassion, and together may they drive us to action  #syria #refugeecrisis #SDGs       "
1/1/2016,6:29, How business can act on the Sustainable Development Goals #SDGs http://grn.bz/1Yg44aC? #GrnBz via @GreenBiz       
1/1/2016,6:31," Happy New Year to Sir @HilaryOgbonna, our Oga on top #SDGs. Many more blessings are coming to your way. Regards to Madam!       "
1/1/2016,6:33, Best wishes for 2016. #MDGs make way for #SDGs. @UN Blueprint to #EndPoverty for #PeoplePlanet by 2030pic.twitter.com/oc8SG0Jz2T       
1/1/2016,6:40, Happy New Year! Smart for #SDGs and #2030Agenda #Tagcloud for all targets  http://www.actor-atlas.info/system:sdt?  Kindly propose improvements       
1/1/2016,6:42," @HelenClarkUNDP @UNDP Yes! daily efforts will make tremendous effect at the end of 2016, committed to creating more awareness of #SDGs       "
1/1/2016,6:53, @un_women @mmcnycyouth We the people can hope 2 live wid dignity only if @un effectively implements #SDGs & #GlobalGoals starting in #2016!       
1/1/2016,6:56, Happy new year from everyone @Classrms4Malawi! 2016 is going to be BIG and I can't wait! #Malawi #Education #SDGs pic.twitter.com/2tduwqneVM       
1/1/2016,6:59, #NewYearsDay2016 : @UN #SDGs Implementation begins  #IrelandUN60 17 #GlobalGoals to achieve #Agenda2030 @MRFCJhttps://twitter.com/UNSSC/status/677485049730723840??       
1/1/2016,7:00, #Agenda2030 & the #SDGs implementation starts today. Is the world ready to move from policy to action? @Beyond2015pic.twitter.com/6dUfcGFlOe       
1/1/2016,7:01, The #SDGs underline that helping yng pple realize their rights & capabilities helps countries reap a #DemographicDividend.v:@BabatundeUNFPA       
1/1/2016,7:03, RT @farmingfirst: 7 reasons the #SDGs will be better than the #MDGs: http://flip.it/TZwjk? via @GuardianGDP       
1/1/2016,7:09, We are so excited about this new year. We have great plans to take action for #Goal4 and #Goal8 of the #SDGs. #HappyNewYear        
1/1/2016,7:10, It's time to focus on delivering the promise of 2015 for Planet Earth #SDGs #ParisAgreement http://ow.ly/WeH9X?pic.twitter.com/5L4uQgX50A       
1/1/2016,7:11, Day 1 of the #SDGs starts today. Together we can build a better future in 2016 http://bit.ly/1R0y3Vv? #GlobalGoals       
1/1/2016,7:13, http://environmentalpillar.ie/sdg-workshop/? @UN #SDGs have now come into being - make 17 #GlobalGoals your #NewYearGoals Learn how via @Env_Pillar #IrelandUN60       
1/1/2016,7:15, Have we forgotten the 'hands that feed us'? Their voice is must in #SDGs 2030 http://bit.ly/1OfWnSr? #developmentjustice #integratedDev       
1/1/2016,7:18, #HappyNewYear @jcinews! In @JCIParaguay we are ready to #JustAct in 2016 & achieve the #SDGs with the leadership of @obpaschal  W/ @JCIasu       
1/1/2016,7:20, Universal health coverage cuts across all of the health-related Sustainable Development Goals http://goo.gl/TwXCGc? #MDGs?#SDGs       
1/1/2016,7:20, Health in 2015: From Millenium Development Goals to Sustainable Development Goals http://goo.gl/TwXCGc? #MDGs?#SDGs       
1/1/2016,7:20, Universal health coverage cuts across all of the health-related Sustainable Development Goals http://goo.gl/TwXCGc? #MDGs?#SDGs       
1/1/2016,7:20, Health in 2015: From Millenium Development Goals to Sustainable Development Goals http://goo.gl/TwXCGc? #MDGs?#SDGs       
1/1/2016,7:22, RT IFADnews: Day 1 of the #SDGs starts today. Together we can build a better future in 2016 http://bit.ly/1R0y3Vv? #GlobalGoals       
1/1/2016,7:23, In honor of the first day for #SDGs implementation.... We give you information & solutions regarding #Water in... http://fb.me/6WTMe1sUD?       
1/1/2016,7:24, IFADnews: Day 1 of the #SDGs starts today. Together we can build a better future in 2016 http://bit.ly/1R0y3Vv? #GlobalGoals       
1/1/2016,7:25, Do you have new goals for 2016? @UN! does. 17 #SDGs enter into force on 1 Jan! #GlobalGoals http://ow.ly/WuYTs?pic.twitter.com/nUmRn8kLeJ       
1/1/2016,7:31, @UNESCO hosts multimedia #contest on #SDGs - deadline for submissions 16 Jan 2016 http://www.unescousa.org/#!2016-youth-multimedia-contest/c12n2??       
1/1/2016,7:39, No. 5 in the top 10 blogs of 2015 on the site: an #SDGs #GlobalGoals guide for starters by Colm Regan http://www.developmenteducation.ie/blog/2015/09/an-sdg-guide-for-starters??       
1/1/2016,7:40," On this first day of 2016, I want to pledge my commitment to contribute my quota to the actualization of the #SDGs . So help me God.       "
1/1/2016,7:45, 17 #SDGs enter into force on 1 Jan! #GlobalGoals http://ow.ly/WuYTs? pic.twitter.com/CgKw27FVde https://twitter.com/UNLibrary/status/682945683373056000??       
1/1/2016,7:50, Something to do from 2016 onwards to attain #SDGs for #PHhttps://twitter.com/unlibrary/status/682945683373056000??       
1/1/2016,7:51," And we have 15yrs to achieve this. To keep up to date w/ the progress of the #SDGs in Nigeria, follow @SDGsSaturdayhttps://twitter.com/HelenClarkUNDP/status/682664540908044289??       "
1/1/2016,7:56, @UN experts: #SDGs will succeed if change includes everyone http://sbne.ws/r/tHmB?       
1/1/2016,7:57, .@UN has #NYResolutions - 17 #SDGs enter into force #Jan01 !#GlobalGoals #HappyNewYear http://ow.ly/WuYTs?pic.twitter.com/MyOsJtxaDv       
1/1/2016,7:58," If you cant remember all 17 Goals #SDGs, then learn the 5 pillars - People, Planet, Prosperity; Partnership, Peace pic.twitter.com/zY3g0sa6gM       "
1/1/2016,8:00, What's your New Year Resolution of #SDGs #GlobalGoals in the brand new 2016?pic.twitter.com/435nsrK0TR       
1/1/2016,8:00, What's your New Year Resolution of #SDGs #GlobalGoals in the brand new 2016?pic.twitter.com/vRI6wkZsuA       
1/1/2016,8:02, #HappyNewYear  Our New Yrs Resolution is to help world implement #SDGs! Will u help us reach #ZeroHunger?! pic.twitter.com/uPruy2C6Fj @WFP @UN       
1/1/2016,8:30, January 1st! Good day to download our 2016 #EndPoverty #SDGs calendar funded by @welfare_ie. http://www.17october.ie/2016calendar/?pic.twitter.com/ivS964dAGh       
1/1/2016,8:32, At @dfatirl #IrelandUN60 Event @MRFCJ told us that on January 1st the world had to wake up and live life differently #NewYearsGoals #SDGs       
1/1/2016,8:33, Hello 2016! #SDGs kicked in with start of year! Read our #RolesWePlay 4 #GlobalGoals booklet http://www.atdireland.ie/wp/globalgoals/?https://twitter.com/GlobalGoalsUN/status/682909899378933760??       
1/1/2016,8:33, Hello 2016! #SDGs kicked in with start of year! Read our #RolesWePlay 4 #GlobalGoals booklet http://www.atdireland.ie/wp/globalgoals/?https://twitter.com/GlobalGoalsUN/status/682909899378933760??       
1/1/2016,8:35, Learn more about how the 17 #SDGs can help us #transform & improve the world we live in: http://bit.ly/1IqICxS? #globalgoals #EWECisME       
1/1/2016,8:35," New #UN anti-poverty goals kick in today, 1 Jan '16! Read more about the #SDGs: http://bit.ly/1WnI0Mc?pic.twitter.com/IvpCAh0nG7       "
1/1/2016,8:40," Welcome to a New #Development Age, Welcome #Agenda2030 The #SDGs are here! http://www.sdgfund.org/sustainable-development-goals??pic.twitter.com/QGFjAxBOJP       "
1/1/2016,8:50," Hallelujah from Haendel's Messiah today @NYFDublin! On this 1 Jan, life's victory over death is in start of #SDGs! pic.twitter.com/Ty9ZAxKHPR       "
1/1/2016,8:51," @SDGFund: Welcome to a New #Development Age  Welcome #Agenda2030 The #SDGs are here! http://sdgfund.org/sustainable-de?? pic.twitter.com/AdlUmYVhfy"" ""     "
1/1/2016,8:56," @UN Sp Envoy #ClimateChange #MaryRobinson on #SDGs @ #IrelandUN60 : We have to learn to live #Sustainably"" @MRFCJ pic.twitter.com/EepS1HKBnN ""      "
1/1/2016,8:57, Day 1 of #SDGs @CIFFchild committed to deliverhttps://twitter.com/unfewec/status/682916941485490176??       
1/1/2016,9:00," To acheive the #SDGs women can no longer remain an untapped resource in #2016. To start, there must be more #womeninpolitics #genderequality       "
1/1/2016,9:01, @un #SDGs are a welcome initiative. How can the achievement of MDGs be gauged? Can it be said 90% of #MDGs have been achieved to date       
1/1/2016,9:03, Starting today we have 15 years to get the job done and fulfil the #SDGs - Let's start! How are you taking #action? #SDGcountdown       
1/1/2016,9:05, How expensive is it to be a poor? http://www.huffingtonpost.com/gary-white/its-expensive-to-be-poor_b_8095176.html?1441805779?? #Water #guardian #WaterPoverty #MDGs #SDGs #4H2O       
1/1/2016,9:07," Retweeted UNV (@UNVolunteers):  New year, new goals! What can you do for the #SDGs next year?... http://fb.me/74i8ou9ss?       "
1/1/2016,9:08," New #UN anti-poverty goals kick in today, #ZeroHunger is possible! Read more about #SDGs: http://bit.ly/1WnI0Mc?       "
1/1/2016,9:08, #IrelandUN60 #Dublin : @MRFCJ & @KofiAnnan urge engagement on issues #Climate #SDGs #Poverty #Gender #NGO #Politicspic.twitter.com/fSwZGKGoho       
1/1/2016,9:13," Many more girls are in school than ever before, we must continue these efforts w/the #SDGs: http://ow.ly/Wr2hI?pic.twitter.com/V1fkVdNaLb       "
1/1/2016,9:13, #Quiz: Has maternal mortality increased or decreased since 1990? Find out: http://ow.ly/WqZTk? #SDGs pic.twitter.com/kq497VhT3R       
1/1/2016,9:14, See why tackling #SDG1 in 2016 will be a priority for us in development: http://ow.ly/WqS4h? #SDGs pic.twitter.com/yprnEGs38Q       
1/1/2016,9:15, Supporting & developing tomorrow's #HealthLeaders who will deliver on the #SDGs: http://ow.ly/QM34W? #YouthLead       
1/1/2016,9:16, Do we need to review the way we measure #GDP to meet the new #SDGs? @degolhailu blogs: http://ow.ly/WquPe?pic.twitter.com/11uIRvoLBJ       
1/1/2016,9:18, From @ihrb: Top 10 Business and Human Rights Issues for 2016 http://buff.ly/1Rdksbs? #humanrights #SDGs #CSRpic.twitter.com/PdnPSKpOw2       
1/1/2016,9:19, @UNICLagos launches year-round #SDGs '17-17 Campaign' Day 1-Goal 1: End poverty in all its forms everywhere@SustDev pic.twitter.com/0HLRyOQ7P2       
1/1/2016,9:21, @TEDTalks Thanks for sharing.  Action to #EndSlavery may fit under #SDT088 / #SDG08 of #2030Agenda #SDGs http://www.actor-atlas.info/sdt:sdt088?       
1/1/2016,9:21," With start of #NewYear, @UN ushers in ambitious #2030 #SDGs. My story from UN. @IndiaMission2UN @PMOIndia http://indianexpress.com/article/world/world-news/united-nations-ushers-in-ambitious-2030-sustainable-development-goals/??       "
1/1/2016,9:34," #SDGs aren't a panacea for all development challenges, but they will ensure that no one is left behind. Get familiar with #SDGs       "
1/1/2016,9:42, Sustainable Development Goals ? what do they mean for #youth? #SDGs by Stephanie from @Youth_Forum http://www.yomag.eu/sustainable-development-goals-what-do-they-mean-for-youth/?? via @YOmag_YFJ       
1/1/2016,9:44, 4 Tips to Scaling Your Social Enterprise #UnLtdIndia #TheBetterIndia #SocEnt #SDGs http://www.thebetterindia.com/41097/tips-for-scaling-social-enterprise/??       
1/1/2016,9:44, The journey begins today @AdaraGroup  is committed to work with partners @UnfEWEC to achieve these goals #SDGs https://twitter.com/SustDev/status/682572907076292609??       
1/1/2016,9:46, #NewYear new day new start. W/ new goals for better future #sdgs #GlobalGoals #un #indiahttps://twitter.com/UN_Women/status/682978439910010880??       
1/1/2016,9:46, Every minute a child dies of a water-related disease. Safe #water for all can change this. #UN #SDGs #6is1  http://dld.bz/dVcZG?       
1/1/2016,9:48, #2015 was a yr for women: #SDGs inc a goal on #womensrights & 15yrs since #1325. Let?s continue championing #participationforall in #2016       
1/1/2016,9:50, Hello 2016! #SDGs kicked in with start of year! Read our #RolesWePlay 4 #GlobalGoals booklet http://www.atdireland.ie/wp/globalgoals/?https://twitter.com/SDGFund/status/682964527571402752??       
