下午3:59 - 2017年11月30日," What are the SDGs? Well.... @UNACanada #TeachSDGspic.twitter.com/iZApa7Ir8g "
下午2:54 - 2017年11月30日," RT @loubrown511: @PalomaMerodio of #INEGI  ##UNGGIMAmericas making final remarks at the closing of the #UNGGIM HLF on #geospatial information technology and #innovation in implementing the #SDGs pic.twitter.com/WirzEDjBbg "
下午2:51 - 2017年11月30日," @PalomaMerodio of #INEGI  ##UNGGIMAmericas making final remarks at the closing of the #UNGGIM HLF on #geospatial information technology and #innovation in implementing the #SDGs pic.twitter.com/C7QcEyiWwE "
下午2:50 - 2017年11月30日," Because many of its sourcing countries face #WASH challenges, @GapInc invests in programs that not only ensure the people who make their clothes work in safe, fair conditions, but that they are also treated with dignity and respect. http://ow.ly/ZSvW30gTJ0J? #SDGs #CSR "
下午2:48 - 2017年11月30日," #SDGs  1-No Poverty 2-No Hunger 3-Health 4-Education 5-Gender Equality 6-Water& sanitation 7-Clean energy 8-Economies 9-Innovation 10-Reduced Inequality 11-Cities 12-Reduce... by #AftabPashawpic.twitter.com/weNbHuHZdZ "
下午2:47 - 2017年11月30日," ODA is no longer the dominant source of capital in @USAID priority countries, so it's now a necessity for us to leverage private capital to reach the SDGs. Proud to work with partners to do the hard work of moving beyond the talk of innovation 2 action and impact. @USAIDMarkGreenhttps://twitter.com/StateDept/status/936328299990589440?? "
下午2:45 - 2017年11月30日," The important thing (as I'm sure you know!) is the interconnectedness - changes affect other elements AND more than one of the sustainable targets! Go ta seem to be trying to have seaoate approaches to each - rather than one for all "
下午2:45 - 2017年11月30日," World Social Protection Report 2017-19: Universal social protection to achieve the Sustainable Development Goals #SDGs #UHChttp://www.ilo.org/global/publications/books/WCMS_604882/lang--en/index.htm?? "
下午2:43 - 2017年11月30日," Thanks @PennyMordaunt @DFID_UK #technology can be catalytic in achieving the #SDGs & #ParisAgreement. But we need #TechJustice to realise benefits for all https://policy.practicalaction.org/policy-themes/technology-justice??pic.twitter.com/Sk637bZbKu "
下午2:40 - 2017年11月30日," I?m halfway through an event on Young People and the UN SDGs. Urge any fellow delegates to read @jasonhickel take on the goals and the huge contradictions they contain: https://theconversation.com/time-for-degrowth-to-save-the-planet-we-must-shrink-the-economy-64195?? #ESDGC "
下午2:34 - 2017年11月30日," What comes to your mind when you picture our future societies? Prosperous, sustainable, inclusive, resilient?   Learn more about our event on 1 December on urban development & sustainable tourism during #IDPD: http://bit.ly/futuresocieties4all?? #FutureSocieties4all #SDGs #GlobalGoalspic.twitter.com/Usbvck7qj1 "
下午2:32 - 2017年11月30日," For most of the countries, a big percentage is made of vulnerable groups of people like students who can't afford, refugees, etc.. They should be the targets by whatever means.  #SmokelessRwanda makes this possible. @globallpg #CleanEnergy #SDGs https://twitter.com/globalgoalsun/status/936307178192941056?? "
下午2:31 - 2017年11月30日," SUSTAINABLE DEVELOPMENT GOALS #SDGs   UNITED NATIONS 2015-2030 @UN @GlobalGoalsUN @antonioguterres pic.twitter.com/MXvmlp1noO "
下午2:30 - 2017年11月30日," SUSTAINABLE DEVELOPMENT GOALS #SDGs @UNFWA GLOBAL GOAL 2  FOOD NO MORE @UN @GlobalGoalsUN @antonioguterres pic.twitter.com/O3gF2lUaUN "
下午2:29 - 2017年11月30日," Closing of the 5th High Level Forum on @UNGGIM  "Implementing the #SDGs: the role of #geospatial technologies and innovation". @INEGI_INFORMA @EO4SDG @UNGGIMAmericas @GEOSEC2025 - Adoption of the Mexico City Declaration  http://ggim.un.org/meetings/2017-Mexico/??pic.twitter.com/EMu5SvPwyr "
下午2:28 - 2017年11月30日," Great to see public, private, and humanitarian sectors aligning around the #SDGs and supporting a #futureforall! @IISD_SDGs @SDGLabhttps://twitter.com/unctad/status/935557702859853824?? "
下午2:27 - 2017年11月30日," Tackling the #SDGs is crucial. #SDG6 and #SDG7 make up our vision to provide water and sustainable energy to allhttps://twitter.com/SDG2030/status/936059146117505024?? "
下午2:25 - 2017年11月30日," Today is the LAST DAY for early bird rate on our new course: Social Enterprise Feasibility Study! Get it before the price increases -->  https://goo.gl/5DRUdt? #socent #socialenterprise #nonprofit #SDGs "
下午2:21 - 2017年11月30日," madam anitha doing her shopping calmly "
下午2:19 - 2017年11月30日," It has been really interesting to be part of today's consultation on young people and the SDGs @StGeorgesHouse today. Love the idea that this place promotes of "high level disagreement"pic.twitter.com/6F7ppI6guP "
下午2:15 - 2017年11月30日," #Soil Organic Carbon has more benefits than you know. @FAOKnowledge video shows how soil organic carbon is pertinent for #ClimateAction, improving #food production and achieving #SDGs http://bit.ly/2zcutBn? "
下午2:14 - 2017年11月30日," #ACURILSocialMediathon is now streaming live on Facebook https://www.facebook.com/acurilrelief/? #Caribbean #libraries #climateresilience #SDGs "
下午2:12 - 2017年11月30日," New @ILO report shows that only 28% of persons with severe disabilities worldwide receive a disability benefit.  Learn more in the World Social Protection Report 2017-19 now available: http://bit.ly/WSPR2017? #GlobalGoals #SDGs #IDPD #CRPD #ThisAbilitypic.twitter.com/fP2wX28s4e "
下午2:11 - 2017年11月30日," If your organization is committed to helping Sweden meet the @UN #SDGs, come talk to us about your thought leadership strategy! https://twitter.com/swemfa/status/936248577558482945?? "
下午2:08 - 2017年11月30日," Closing off #FutureofGood, a powerful conversation on the future of movements, human rights and gender equality with @YahParwon @Atongdeng90 and @aliasoliman hosted by @MATCHIntFund?s Jess Tomlin. #SDG5 #FoG #SDGs pic.twitter.com/5yqfK7llvY "
下午2:08 - 2017年11月30日," 1st December, Farmers' Day in #Ghana @FAOGhana http://bit.ly/2jAK7Qu? celebrating farmers and their role in food security and nutrition #SDGs @SDGaction @NAkufoAddo Efforts of dedicated @agri4young @unwomenafrica for #ZeroHunger @ZeroHunger @FAOWestAfricapic.twitter.com/sb6fCwXl2p "
下午2:05 - 2017年11月30日," Vulnerable countries plead for others to prioritize UN SDG#13 http://ow.ly/n6p030gHOtF? #SDGs #globalgoals "
下午2:03 - 2017年11月30日," #Consumption is the bottleneck for #sustainabledevelopment https://www.eurekalert.org/pub_releases/2017-11/pifc-cit112917.php?? #SDGs #SDGinteractions #SDG1 #SDG12 #SDG3 #SDG6 "
下午2:02 - 2017年11月30日," #Education is key to changing our future. We must let our leaders know that education funding in #intdev must increase.  Write or phone your MP & our PM to #Fundeducation to #shapethefuture.  #cdnfp #Budget2018 #SDGs https://twitter.com/GPforEducation/status/935609267440173056?? "
下午2:00 - 2017年11月30日," Did you know UNU's research supports all 17 #SDGs? Discover our experts and research projects on the #SDGExplorer platform.http://bit.ly/2neVNxx? "
下午1:59 - 2017年11月30日," #SDGs #goal13 #climateaction Climate change does not discriminate, it does not pick on the weakest or favour the strongest, it just spreads and grows each day #globalwarming #renewableenergy #raisingawareness #climatecontrol  Read more @http://letsruntherace.com/2017/11/30/sdgs-goal-13-climate-action/?? "
下午1:57 - 2017年11月30日," #CleanEnergy provision will make students smarter at the same time enhancing #SDGs action. #SaveTheEnvironment #SmokelessRwanda "
下午1:56 - 2017年11月30日," Thanks a lot @NoemieBauer for this inspiring presentation ! @Pernod_Ricard #PwCdd #SDGs "
下午1:56 - 2017年11月30日," #SDGs  1-No Poverty 2-No Hunger 3-Health 4-Education 5-Gender Equality 6-Water& sanitation 7-Clean energy 8-Economies 9-Innovation 10-Reduced Inequality 11-Cities 12-Reduce... by #AnoutiSamirpic.twitter.com/VU6eiYN5aK "
下午1:54 - 2017年11月30日," initiates #SmokelessRwanda to help students change their lifestyle and keep time for the mind enriching. #CleanEnergy #SDGs "
下午1:53 - 2017年11月30日," Engaging #SDGs @AMJAD & in particular  #SDG3. Getting EVERYONE to take a stand to #TeachSDGs. https://www.facebook.com/fouad.bakkar.12/posts/369293346857060??  150 students supported by 80 volunteers. #Health & #environnement clubs "
下午1:50 - 2017年11月30日," I had an absolutely fantastic evening at One Planet Prosperity event by @2050ClimateGrp @StirlingCouncil @ScottishEPA. Thank you to all who organised! Great also to meet and chat with @MaWackernagel about #climateaction #EcoFootprint #SDGs. Even more engaged & motivated now! https://twitter.com/2050ClimateGrp/status/936223950069288960?? "
下午1:50 - 2017年11月30日," THE BEAUTIFUL MONSTER- UN?S SUSTAINABLE DEVELOPMENT GOALS(SDGs)? ?https://belinenyangionglobalrelations.wordpress.com/2017/11/30/the-beautiful-monster-uns-sustainable-development-goalssdgs/??pic.twitter.com/DBXYTCZMsG "
下午1:50 - 2017年11月30日," Join us for a #sdgoals webinar!! #CSR #SDGs #Goodtimeshttps://twitter.com/cecptweets/status/936307988037500929?? "
下午1:49 - 2017年11月30日," You can now watch my full video message supporting SDG8 for the 2018 @Lavazza Calendar: "mobilizing innovation, entrepreneurship, creativity can help achieve all 17 #SDGs" #2030whatareUdoinghttps://www.youtube.com/watch?time_continue=33&v=S_0aGcRqm1A?? "
下午1:47 - 2017年11月30日," FAO, ITTO Meetings Call for Collaboration, Technology to Achieve Forest-Related SDGs in Asia-Pacific http://sdg.iisd.org/news/fao-itto-meetings-call-for-collaboration-technology-to-achieve-forest-related-sdgs-in-asia-pacific/?? "
下午1:46 - 2017年11月30日," #findings of #SDGinteractions study Synergies outweigh trade-offs  for most #SDGs #SDG1 depicts synergies with most goals while #SDG12 shows trade-offs to attain SDGs, synergies can be leveraged & trade-offs need to be overcome  http://onlinelibrary.wiley.com/doi/10.1002/2017EF000632/full?? @theAGU @EarthsFutureEiCpic.twitter.com/CCqxwmQiiL "
下午1:43 - 2017年11月30日," Today's sensitization was successful as I got the children sensitized on the implication of unprotected sex as it concerns#AIDs and #ChildMarriage #LeavingNoOneBehind #EndChildMarriage #SayNoToAIDS #World'sAIDSday #SDGs #ANNPCANpic.twitter.com/AAKg89l2Ir "
下午1:40 - 2017年11月30日," Amina and I spent 4 1/2 years together working hand in hand to establish the SDGs and the 2030 Agenda. The member States stood by the high level of ambition. Nobody could better than the present DSG help turn the Goals into reality. Go for it! "
下午1:39 - 2017年11月30日," We've seen greenwashing around environmental goals and bluewashing of @UN #SDGs. What preventative measures need to be put in place to discourage the less scrupulous members of the #privatesector from treating this as a marketing opportunity without embracing real change? "
下午1:35 - 2017年11月30日," Side event at UN Headquarters: Big Data Analytics and Text Mining: Monitoring and Evaluating Disability and Development for SDGs and CRPD  1 Dec 2017 1:15-2:30pm NY time http://bit.ly/IDPD2017?  Attend remotely: https://tinyurl.com/IDPD-Side-Event? #IDPD #SDGs #Disabilities #GlobalGoalspic.twitter.com/yQKR3QwkMi "
下午1:31 - 2017年11月30日," What are the implications of the charitable sector?s institutional and ecosystem ?culture? on our ability to meet ambitious goals like the #SDGs? - @AndrewChunilall at #FutureofGood.pic.twitter.com/U9p3CVfSWZ "
下午1:30 - 2017年11月30日," #SDGs  1-No Poverty 2-No Hunger 3-Health 4-Education 5-Gender Equality 6-Water& sanitation 7-Clean energy 8-Economies 9-Innovation 10-Reduced Inequality 11-Cities 12-Reduce... by #ConnectSDGspic.twitter.com/JkWvPZDFmw "
下午1:30 - 2017年11月30日," .@UNEP Inquiry, China?s CUFE Highlight Progress on Green #Finance: http://sdg.iisd.org/news/unep-inquiry-chinas-cufe-highlight-progress-on-green-finance/?? - #SDGs "
下午1:30 - 2017年11月30日," Aiming for UN SDG#5 (Gender Equality) Ghana government is committed to empowering women http://ow.ly/i7gq30gR1GC? #SDGs #globalgoals "
下午1:29 - 2017年11月30日," Sunrise Academy needs your help!! https://youtu.be/PtzCjgvq13c? #psychology #health #houston #philanthropy #noew2017 #sdgs #csr #mentalhealth "
下午1:29 - 2017年11月30日," The #SDGs are forcing the UN to think outside of its silos and organize itself as a system - and to enhance its capabilities to meaningfully act as a partner. @Robert_Opp @WFP #FoG #futureofgoodpic.twitter.com/gY7vFk3x9T "
下午1:29 - 2017年11月30日," Governments Agree on #Migration Conference Plans: http://sdg.iisd.org/news/governments-agree-on-migration-conference-plans/?? - #SDGs "
下午1:27 - 2017年11月30日," Mobile key for development with great impact on #SDGs #GlobalGoals Interesting report from @GSMA @GSMAm4d @MatsGranrydhttps://twitter.com/telenorgroup/status/935524368645545987?? "
下午1:25 - 2017年11月30日," Humanitarians sparing no effort to "reach the furthest behind first" in the Democratic Republic of the Congo #DRC. #LeaveNoOneBehind #SDGs #children #IDPshttps://twitter.com/UNOCHA_DRC/status/936286640636653568?? "
下午1:24 - 2017年11月30日," And that's a wrap! A great inaugural #SDGs @OCDSB_Students  Training Day. #awareness #TeachSDGs #leadership #globalcitizenship #glocal #OCDSB #globallyaware #ICP pic.twitter.com/2KT0ESdEly "
下午1:22 - 2017年11月30日," Great work by @ingridihme representing @TelenorGroup in Bonn highlighting #GlobalGoals #SDGs and our focus on #SDG10https://twitter.com/telenorgroup/status/936252882806026240?? "
下午1:20 - 2017年11月30日," An example of @ShorefastFdn?s ?Economic Nutrition? label for everyone at #FutureofGood. #FoG #SDGs pic.twitter.com/jQpTiMplMv "
下午1:18 - 2017年11月30日," ?We are using the #SDGs and #global aspects to hook students into learning, making them... https://goo.gl/y8GqVi? by #nomoreslaves RT @AdamRogers2030 by #ShiCookspic.twitter.com/MH5u5yP4ks "
下午1:16 - 2017年11月30日," #DYK SPC, together with development partners, is working towards the Sustainable Development Goals (SDGs) which has placed a greater importance on statistics as without it #Pacific island countries won?t be able to effectively measure their progress More:https://www.youtube.com/watch?v=6sBzFPbN0dk&feature=youtu.be?? "
下午1:14 - 2017年11月30日," The #SDGs are forcing the UN to think outside of its silos and organize itself as a system - and to enhance its capabilities to meaningfully act as a partner. An interesting and important reflection by WFP?s Robert Opp at #FutureofGood. "
下午1:13 - 2017年11月30日," Better late than never! Big thanks to special guest @AmbMKamau, distinguished participants and co-organizers @TheNewSchool @UNDP @UniOslo for an interesting and productive workshop on Knowledge & Politics in Setting & Measuring #SDGs pic.twitter.com/FfupWotjmf "
下午1:09 - 2017年11月30日," Menstravaganza! Discussion on Menstruation with Marianne Tellier on http://blogtalkradio.com/herstorytoo/20??  #menstruationtax #globalgoals #menstruationmatters #herstorytoo #SDGs #wash @Mandy_Sanghera1 @STaherifar @AcademicAyesha @Mandy_Sanghera1 @777SunnyAngelpic.twitter.com/C3RPAMWwB9 "
下午1:08 - 2017年11月30日," Menstravaganza! Discussion on Menstruation with Marianne Tellier on http://www.blogtalkradio.com/herstorytoo/2017/11/30/womena-co-founder-mariane-tellier-tonight-on-herstorytoo?? #menstruationtax #globalgoals #menstruationmatters #herstorytoo #SDGs #wash @Mandy_Sanghera1 @STaherifar @AcademicAyesha @Mandy_Sanghera1 @777SunnyAngel @EducateGirlsNowpic.twitter.com/OMr393zR6k "
下午1:07 - 2017年11月30日," @_MenuX_ an approach with no carbon footprint, promising a #food secured future We will be live soon on #Indiegogo #campaign #startup #startups #idea #fundraising #crowdfunding #crowdfund #business #SDGs #goal #perks #MenuX https://www.krowdster.co/l/e524?pic.twitter.com/jh2TIrQMwX "
下午1:07 - 2017年11月30日," The UN World Food Program runs the world?s largest humanitarian supply chain. How can innovation in the space help drive progress toward #SDG2? Excited to hear from @Robert_Opp at #FutureofGood. #SDGs pic.twitter.com/jKzBgxpAIN "
下午1:06 - 2017年11月30日," Hey @alicekorngold @BSRnews @PYXERAGlobal @TimJMohin @SVNetwork @UN_Women! Is this on your radar screen? #SDGs #IRIS http://standards.sinzer.org?https://twitter.com/lauraclise/status/936337800458149888?? "
下午1:02 - 2017年11月30日," @reachprojectUT panel on financing the #SDGs. Difficult to convince investors and government to reach the last to reach. Little commercial and political return #how2reach @JamesOrbinski @dilipsomanpic.twitter.com/NiHrJ1Dye1 "
下午1:02 - 2017年11月30日," What's a #communityofpractice? Join @CSIH_ @CCGHR @CCCICCIC @GHSYPS2017 @EV4GH on Wed, 6 Dec 11:00 and find out! #SDGs #webinar http://blog.thecollectivity.org/2017/11/29/communities-of-practice-in-global-health-some-lessons-from-practice-webinar-to-come/?? "
下午1:00 - 2017年11月30日," How can we meet the #GlobalGoals for #sustdev? According to @rootcapitalceo Willy Foote, public-private partnerships might be the key. https://www.forbes.com/sites/willyfoote/2017/11/29/how-to-build-public-private-partnership/?? #SDG #SDGs #PPPs "
下午12:58 - 2017年11月30日," Appreciate working with you sir on D SDGs projects.we Av 2 eradicate poverty in northern nigeria & make sure ur girls goes back 2 school DOLE,GIRLS CHILD EDUCATION it?s a MOST. #uzee #actor #entrepreneur #tvshows #tvhost #sdgsambassadors @ALIBABAGCFR @ossap_sdgs @uzeeusmanpic.twitter.com/FM22tXeM20 "
下午12:58 - 2017年11月30日," #SDGs  1-No Poverty 2-No Hunger 3-Health 4-Education 5-Gender Equality 6-Water& sanitation 7-Clean energy 8-Economies 9-Innovation 10-Reduced Inequality 11-Cities 12-Reduce Consumption 13-Climate 14-Ocean 15-Biodiversity 16-Peace 17-Partnership #GlobalGoals #SDGsHIVResponsepic.twitter.com/iwOm0Z1LUd "
下午12:55 - 2017年11月30日," #SDGs  1-No Poverty 2-No Hunger 3-Health 4-Education 5-Gender Equality 6-Water& sanitation 7-Clean energy 8-Economies 9-Innovation 10-Reduced Inequality 11-Cities 12-Reduce Consumption 13-Climate 14-Ocean 15-Biodiversity 16-Peace 17-Partnership #GlobalGoals #SDGsXMasTreepic.twitter.com/MxQl0Bt5xL "
下午12:55 - 2017年11月30日," Back at @Thunderbird: Learning about the @Sinzer_org impact tool, which supports measurement of progress toward #SDGs via #IRIS metrics. #TbirdLifepic.twitter.com/motm1Vx3um "
下午12:52 - 2017年11月30日," Moving on to our next plenary and our seventh panel moderated by @AndrewChunilall from our #partner @CommFdnsCanada and featuring @dhodg613 @Robert_Opp and @LizHendriksH2O. The theme for this panel is "How should we approach SDGs differently given the forces and levers at play?" "
下午12:52 - 2017年11月30日," .@FURIOHONSELL speaking for @CCRECEMR at #CitiesForum2017 : EU needs to develop a post-2020 strategy based on #SDGs for all territories & Member States to achieve shared goals + strengthen territorial (place-based) dimension of... by #peoplesdemandspic.twitter.com/oPSbEaWD1R "
下午12:51 - 2017年11月30日," On stage exploring the importance of the UN Sustainable Development Goals on Canadian intuitions, culture, leadership and governance - @CommFdnsCanada?s @AndrewChunilall. #FutureofGood #SDGs pic.twitter.com/ChJjr1ThHe "
下午12:51 - 2017年11月30日," We ain't seeing any positive impact of your programe.. like scam "
下午12:46 - 2017年11月30日," Any conversation about the #SDGs should involve young people. Awesome job #FutureofGood. This might be one of my favourite talks of the day.pic.twitter.com/xWDX7hS4Si "
下午12:44 - 2017年11月30日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午12:44 - 2017年11月30日," Inform him about your #corruption record and dirty past. Stop talking about #SDGs because you will ruin the efforts of all good people at #UN #Amina2Court #RosewoodScandal #Rooswoodhttp://dailypost.ng/2017/11/10/amina-mohammed-un-dep-sec-gen-fingered-300m-timber-scandal-video/?? "
下午12:43 - 2017年11月30日," Saw #SDGs #Agenda2030 everywhere at the bus stations in #Beijing a few weeks ago. Really impressive. @n_rosellini @UNDPChinapic.twitter.com/0m7y7L9HKZ "
下午12:41 - 2017年11月30日," Reminded about the harsh Arctic realities while switching on hotel TV arriving in beautiful Copenhagen for tomorrow?s timely conference on SDGs in the Arctic - local and global perspectives. @ArcticCouncilpic.twitter.com/HhiQHjMZOR "
下午12:35 - 2017年11月30日," Good policy requires good #genderdata & is key for the #SDGs. Here's why: http://bit.ly/political-action-2030?? #HLPF2017 @Data2Xpic.twitter.com/2NdIUJA2iG "
下午12:32 - 2017年11月30日," Excited to be a part! More recognition of and support for last mile distributors is needed to help businesses effectively deliver simple, transformative technologies to people most in need. #lastmiledistribution #SDGs @PracticalActionhttps://practicalaction.org/global-distributors-collective?? "
下午12:31 - 2017年11月30日," Celebrating International Men's Day at Westside School to raise awareness of Prostate Cancer, Testicular Cancer, Mental Health and Suicide Prevention. Focusing on SDGs too, SDG 5 Gender Equality. @SDGMediaZone @SDG2030 @SDGSociety @SDGActors @Equality5050 @DFID_Inclusivepic.twitter.com/BzITG7hdVg "
下午12:31 - 2017年11月30日," #Sustainability ? Report Ranks EU Countries on ICT, SDGs - Huawei and collaborators launched the EU ICT Sustainable Goals Benchmark report at the third Sustain http://ow.ly/Ex1L50fsYDb? "
下午12:28 - 2017年11月30日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午12:27 - 2017年11月30日," In #Pakistan 23 million children don't have access to #school. It is time to raise the spending beyond 13.2% to achieve #SDGs @SDG2030 @IISD_SDGs require more resources allocation and commitment to achieve by @Education2030UNhttps://twitter.com/spectatorindex/status/936323989085085697?? "
下午12:26 - 2017年11月30日," Hey @montgomerycoll faculty - let?s work with these students to develop renewable #OER assignments around the SDGs.  Great opportunity to impact community https://twitter.com/montgomerycoll/status/936274968115105792?? "
下午12:26 - 2017年11月30日," Benue translated the SDG goal cards in 3 different native languages. Localizing the SDGs by raising awareness and advocate for the active role of local actors. @ossap_sdgs @benuestategovt @Ojijoteko @DrFalegan @magdala2010 #benuestate #SDGNg #SDGs #Agenda2030pic.twitter.com/6YVRvLRsZZ "
下午12:25 - 2017年11月30日," How improved soil management can help farms raise food sustainably far into the future: http://ow.ly/yark30gTuhX? #agriculture #SDGs "
下午12:25 - 2017年11月30日," As the world gets a little more crowded a little faster, let?s remember to take care of each other and the planet! #SDGs #Globalgoalspic.twitter.com/vl3fZi142F "
下午12:24 - 2017年11月30日," But all along the trajectory of a Transformative Development Agenda anchored within the National Vision 2030 framework hence the measurable and realisable SDGs would be achieved on a NATIONAL VALUES DICTATES BETTER..WE trust you are up to the task MZALENDO HEADED THERE!! KUDOS!! "
下午12:19 - 2017年11月30日," .@CCitizenship releases new research showing company action is stalling two years into the United Nations? #SDGs http://bit.ly/2jz7IRD? "
下午12:17 - 2017年11月30日," @gchallenges ?s @TeestaSoman speaking about how to finance the SDGs to reach the last mile of beneficiaries.  #how2reach Proud to work for an organization with brilliant female leaders and role modelspic.twitter.com/jGQnqeOtGz "
下午12:16 - 2017年11月30日," And the amazing work Canadian Ss are doing back home! @OCDSB Check #aueuypii Engaging the #SDGs #TeachSDGs @allison_fuisz @UNDPEthiopia Let?s connect @ICSAddisHS @MrDRedmond @drtstuarthttps://twitter.com/kathyscheepers/status/936289259706654720?? "
下午3:57 - 2017年11月29日," Good debate led by @triodosuk Bevis Watts @ies_uk #Burntwood17. What to do to embed #SDGs in banking system? pic.twitter.com/g55b2ODjhr "
下午3:53 - 2017年11月29日," Tried hard to stay up but can?t make it... Have a great chat! Working with the early and primary years PBL program at the Col.legi Montserrat in Barcelona after 5 days of PBL in Bogota. Go SDGs! #SDG12 "
下午3:51 - 2017年11月29日," Great example of how to use graphics effectively on social media to promote SDGs @Gwsn2012 #en101https://twitter.com/SDG2030/status/935610893211176960?? "
下午3:49 - 2017年11月29日," Get informed! Get involved! Leave no one behind movement #16days #Orangetheworld #SDGs #SDG3 #SDG5 #SDG16http://ow.ly/E68c30gUfh2? "
